,0,1,2,3,4,5,6,7,8,9
0,484.0,391.0,334.0,334.0,755.0,345.0,619.0,678.0,318.0,492.0
1,469.0,299.0,265.0,406.0,499.0,320.0,574.0,715.0,263.0,488.0
2,372.0,311.0,138.0,285.0,590.0,232.0,581.0,674.0,233.0,442.0
3,418.0,357.0,92.0,255.0,585.0,332.0,642.0,631.0,236.0,417.0
4,634.0,460.0,184.0,305.0,630.0,400.0,714.0,737.0,331.0,539.0
5,605.0,955.0,299.0,1057.0,963.0,811.0,1359.0,1007.0,556.0,568.0
6,920.0,1253.0,506.0,1618.0,1316.0,1324.0,1780.0,1180.0,610.0,794.0
7,1020.0,1316.0,941.0,1895.0,1698.0,1290.0,1917.0,1580.0,834.0,1300.0
8,1684.0,1483.0,1311.0,1807.0,2165.0,1475.0,1841.0,1624.0,1052.0,1556.0
9,1382.0,1472.0,1069.0,1769.0,1774.0,1391.0,1728.0,1644.0,905.0,1146.0
10,1244.0,1219.0,1173.0,1741.0,1696.0,1601.0,1478.0,1538.0,873.0,1124.0
11,1335.0,1150.0,1173.0,1715.0,1638.0,1433.0,1489.0,1551.0,872.0,1039.0
12,1221.0,1173.0,1196.0,1683.0,1570.0,1290.0,1461.0,1393.0,856.0,922.0
13,1175.0,1161.0,1092.0,1577.0,1826.0,1416.0,1555.0,1447.0,903.0,835.0
14,1284.0,1339.0,923.0,1517.0,1771.0,1383.0,1404.0,1523.0,967.0,1053.0
15,1170.0,1138.0,1253.0,1660.0,1758.0,1395.0,1452.0,1613.0,900.0,1024.0
16,1484.0,1140.0,1437.0,1810.0,1874.0,1635.0,1498.0,1622.0,965.0,1124.0
17,1601.0,1253.0,1759.0,1955.0,1994.0,1858.0,1615.0,1589.0,1161.0,1151.0
18,1746.0,1322.0,1575.0,1710.0,1979.0,1635.0,1705.0,1910.0,1099.0,1210.0
19,1377.0,1069.0,1495.0,1300.0,1691.0,1076.0,1378.0,1737.0,919.0,885.0
20,1286.0,874.0,1196.0,1103.0,1352.0,1030.0,918.0,1506.0,674.0,890.0
21,1002.0,771.0,817.0,978.0,1103.0,769.0,982.0,1273.0,549.0,724.0
22,721.0,656.0,518.0,798.0,870.0,774.0,780.0,967.0,487.0,576.0
23,613.0,415.0,391.0,444.0,834.0,538.0,729.0,882.0,415.0,520.0
24,503.0,368.0,398.0,510.0,605.0,391.0,712.0,789.0,322.0,502.0
25,500.0,552.0,265.0,368.0,608.0,353.0,633.0,688.0,296.0,442.0
26,510.0,334.0,207.0,286.0,615.0,374.0,543.0,583.0,280.0,386.0
27,419.0,437.0,104.0,337.0,623.0,442.0,604.0,462.0,364.0,436.0
28,470.0,362.0,244.0,414.0,557.0,408.0,663.0,838.0,254.0,468.0
29,826.0,805.0,391.0,968.0,896.0,706.0,1233.0,997.0,449.0,548.0
30,1013.0,1564.0,253.0,1473.0,1207.0,1059.0,1766.0,1247.0,699.0,783.0
31,1293.0,1311.0,1115.0,1803.0,1818.0,1265.0,1840.0,1591.0,621.0,1262.0
32,1521.0,1380.0,1345.0,1876.0,2091.0,1362.0,1831.0,1740.0,901.0,1533.0
33,1418.0,1334.0,1196.0,1913.0,1735.0,1454.0,1525.0,1637.0,873.0,1252.0
34,1413.0,1196.0,1207.0,1713.0,1725.0,1450.0,1479.0,1568.0,870.0,1107.0
